Eid|Sid|Order|Title|Created at|Description|Course
211|9|2|2. Nondeterminism, Closure Properties, Conversion of Regular Expressions to FA|2021-10-06T12:44:33Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|oNsscmUwjMU
212|9|3|3. Regular Pumping Lemma, Conversion of FA to Regular Expressions|2021-10-06T12:46:14Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|KAySmSEGc9U
213|9|4|4. Pushdown Automata, Conversion of CFG to PDA and Reverse Conversion|2021-10-06T12:44:33Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|m9eHViDPAJQ
214|9|5|5. CF Pumping Lemma, Turing Machines|2021-10-06T12:47:06Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|IycOPFmEQk8
215|9|6|6. TM Variants, Church-Turing Thesis|2021-10-06T12:44:38Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|TTArY7ojshU
216|9|7|7. Decision Problems for Automata and Grammars|2021-10-06T12:45:14Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|4MgN6uxd4i4
217|9|8|8. Undecidability|2021-10-06T12:44:37Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|3PzuSPQPEU4
218|9|9|9. Reducibility|2021-10-06T12:46:14Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|N28g_YBXY8Y
219|9|10|10. Computation History Method|2021-10-06T12:44:33Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|MGqoLm2aAgc
220|9|11|11. Recursion Theorem and Logic|2021-10-06T12:44:34Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|N-_XmLanPYg
221|9|12|12. Time Complexity|2021-10-06T12:44:40Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|asjAc90L8rE
222|9|13|14. P and NP, SAT, Poly-Time Reducibility|2021-10-06T12:45:48Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|1VhnDdQsELo
223|9|14|15. NP-Completeness|2021-10-06T12:44:33Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|iZPzBHGDsWI
224|9|15|16. Cook-Levin Theorem|2021-10-06T12:44:33Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|6Az1gtDRaAU
225|9|16|17. Space Complexity, PSPACE, Savitch's Theorem|2021-10-06T12:45:17Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|cT_qwkTigv4
226|9|17|18. PSPACE-Completeness|2021-10-06T12:44:33Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|aVv9WXwW95w
227|9|18|19. Games, Generalized Geography|2021-10-06T12:45:20Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|4dFPVJrNLDs
228|9|19|20. L and NL, NL = coNL|2021-10-06T12:45:34Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|q3xvno_KgRY
229|9|20|21. Hierarchy Theorems|2021-10-06T12:44:33Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|vqFRAWeEcUs
230|9|21|22. Provably Intractable Problems, Oracles|2021-10-06T12:44:33Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|N32bnUliSzo
231|9|22|23. Probabilistic Computation, BPP|2021-10-06T12:44:45Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|Vp_AzDGQyrA
232|9|23|24. Probabilistic Computation (cont.)|2021-10-06T12:45:35Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|7J1HD9rqEB4
233|9|24|25. Interactive Proof Systems, IP|2021-10-06T12:45:17Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|TSI3LR5WZmo
234|9|25|26. coNP is a subset of IP|2021-10-06T12:45:10Z|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|eEXSv0jChO4
235|10|1|Five Factorizations of a Matrix|2023-12-06T14:27:31Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/2020-vision YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek  Professor Strang introduces his updated vision of how to start learning linear algebra, based on matrices. These brief videos provide an overview of his full Linear Algebra course on MIT OpenCourseWare.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|nTwRjQ4xqUc
236|10|2|Intro: A New Way to Start Linear Algebra|2020-05-05T12:43:00Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/2020-vision YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek  Professor Strang introduces his updated vision of how to start learning linear algebra, based on matrices. These brief videos provide an overview of his full Linear Algebra course on MIT OpenCourseWare.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|YrHlHbtiSM0
237|10|3|Part 1: The Column Space of a Matrix|2020-05-05T12:42:05Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/2020-vision YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek  Professor Strang introduces his updated vision of how to start learning linear algebra, based on matrices. These brief videos provide an overview of his full Linear Algebra course on MIT OpenCourseWare.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|azzrfdysfI0
238|10|4|Part 2: The Big Picture of Linear Algebra|2020-05-05T12:42:04Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/2020-vision YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek  Professor Strang introduces his updated vision of how to start learning linear algebra, based on matrices. These brief videos provide an overview of his full Linear Algebra course on MIT OpenCourseWare.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|rwLOfdfc4dw
239|10|5|Part 3: Orthogonal Vectors|2020-05-05T12:42:04Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/2020-vision YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek  Professor Strang introduces his updated vision of how to start learning linear algebra, based on matrices. These brief videos provide an overview of his full Linear Algebra course on MIT OpenCourseWare.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|j8hEnyOiwhw
240|10|6|Part 4: Eigenvalues and Eigenvectors|2020-05-05T12:42:04Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/2020-vision YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek  Professor Strang introduces his updated vision of how to start learning linear algebra, based on matrices. These brief videos provide an overview of his full Linear Algebra course on MIT OpenCourseWare.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|GyC3gl6weYo
241|10|7|Part 5: Singular Values and Singular Vectors|2020-05-05T12:42:04Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/2020-vision YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek  Professor Strang introduces his updated vision of how to start learning linear algebra, based on matrices. These brief videos provide an overview of his full Linear Algebra course on MIT OpenCourseWare.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|IHO7_n7Y09s
242|10|8|Part 6: Finding the Nullspace: Solving Ax = 0 by Elimination|2022-01-20T16:27:50Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/2020-vision YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek  Professor Strang introduces his updated vision of how to start learning linear algebra, based on matrices. These brief videos provide an overview of his full Linear Algebra course on MIT OpenCourseWare.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|JFIaRtKNP2E
243|11|1|Course Introduction of 18.065 by Professor Strang|2019-05-16T16:09:36Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/18-065S18  Linear algebra concepts are key for understanding and creating machine learning algorithms, especially as applied to deep learning and neural networks. This course reviews linear algebra with applications to probability and statistics and optimization–and above all a full explanation of deep learning.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|Cx5Z-OslNWE
244|11|2|An Interview with Gilbert Strang on Teaching Matrix Methods in Data Analysis, Signal Processing,...|2019-08-19T11:28:08Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/18-065S18  Linear algebra concepts are key for understanding and creating machine learning algorithms, especially as applied to deep learning and neural networks. This course reviews linear algebra with applications to probability and statistics and optimization–and above all a full explanation of deep learning.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|t36jZG07MYc
245|11|3|Lecture 1: The Column Space of A Contains All Vectors Ax|2019-05-16T16:12:09Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/18-065S18  Linear algebra concepts are key for understanding and creating machine learning algorithms, especially as applied to deep learning and neural networks. This course reviews linear algebra with applications to probability and statistics and optimization–and above all a full explanation of deep learning.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|YiqIkSHSmyc
246|11|4|Lecture 2: Multiplying and Factoring Matrices|2019-05-16T16:16:21Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/18-065S18  Linear algebra concepts are key for understanding and creating machine learning algorithms, especially as applied to deep learning and neural networks. This course reviews linear algebra with applications to probability and statistics and optimization–and above all a full explanation of deep learning.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|or6C4yBk_SY
247|11|5|3. Orthonormal Columns in Q Give Q'Q = I|2019-05-16T16:16:48Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/18-065S18  Linear algebra concepts are key for understanding and creating machine learning algorithms, especially as applied to deep learning and neural networks. This course reviews linear algebra with applications to probability and statistics and optimization–and above all a full explanation of deep learning.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|Xa2jPbURTjQ
248|11|6|4. Eigenvalues and Eigenvectors|2019-05-16T16:17:13Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/18-065S18  Linear algebra concepts are key for understanding and creating machine learning algorithms, especially as applied to deep learning and neural networks. This course reviews linear algebra with applications to probability and statistics and optimization–and above all a full explanation of deep learning.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|k095NdrHxY4
249|11|7|5. Positive Definite and Semidefinite Matrices|2019-05-16T16:17:40Z|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/18-065S18  Linear algebra concepts are key for understanding and creating machine learning algorithms, especially as applied to deep learning and neural networks. This course reviews linear algebra with applications to probability and statistics and optimization–and above all a full explanation of deep learning.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|xsP-S7yKaRA
