Eid|Sid|Order|Title|Created at|Description|Course
125|2|33|Matrix vector products , Vectors and spaces , Linear Algebra , Khan Academy|2009-10-16T01:15:57Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|7Mo4S2wyMg4
126|2|34|Introduction to the null space of a matrix , Vectors and spaces , Linear Algebra , Khan Academy|2009-10-16T18:51:22Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|jCwRV1QL_Xs
127|2|35|Null space 2: Calculating the null space of a matrix ,  Linear Algebra , Khan Academy|2009-10-16T19:45:16Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|qvyboGryeA8
128|2|36|Null space 3: Relation to linear independence , Vectors and spaces , Linear Algebra , Khan Academy|2009-10-16T21:05:33Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|vFctYRhK2M0
129|2|37|Column space of a matrix , Vectors and spaces , Linear Algebra , Khan Academy|2009-10-17T16:38:21Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|st6D5OdFV9M
130|2|38|Null space and column space basis , Vectors and spaces , Linear Algebra , Khan Academy|2009-10-17T17:57:25Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|_uTAdf_AsfQ
131|2|39|Visualizing a column space as a plane in R3 , Vectors and spaces , Linear Algebra , Khan Academy|2009-10-17T18:29:26Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|EGNlXtjYABw
132|2|40|Proof: Any subspace basis has same number of elements ,  Linear Algebra , Khan Academy|2009-10-18T14:19:57Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|Zn2K8UIT8r4
133|2|41|Dimension of the null space or nullity , Vectors and spaces , Linear Algebra , Khan Academy|2009-10-18T15:21:03Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|abYAUqs_n6I
134|2|42|Dimension of the column space or rank , Vectors and spaces , Linear Algebra , Khan Academy|2009-10-18T23:43:23Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|JUgrBkPteTg
135|2|43|Showing relation between basis cols and pivot cols , Linear Algebra , Khan Academy|2009-10-19T00:05:04Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|BfVjTOjvI30
136|2|44|Showing that the candidate basis does span C(A) , Vectors and spaces , Linear Algebra , Khan Academy|2009-10-19T01:48:37Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|CkQOCnLWPUA
137|2|45|A more formal understanding of functions , Matrix transformations , Linear Algebra , Khan Academy|2009-10-20T19:01:17Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|BQMyeQOLvpg
138|2|46|Vector transformations , Matrix transformations , Linear Algebra , Khan Academy|2009-10-20T20:26:37Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|gAbadNuQEjI
139|2|47|Linear transformations , Matrix transformations , Linear Algebra , Khan Academy|2009-10-20T21:17:59Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|4PCktDZJH8E
140|2|48|Matrix vector products as linear transformations , Linear Algebra , Khan Academy|2009-10-20T23:20:17Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|ondmopWLiEg
141|2|49|Linear transformations as matrix vector products , Linear Algebra , Khan Academy|2009-10-20T23:57:23Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|PErhLkQcpZ8
142|2|50|Image of a subset under a transformation , Matrix transformations , Linear Algebra , Khan Academy|2009-10-22T16:55:39Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|MIAmN5kgp3k
143|2|51|im(T): Image of a transformation , Matrix transformations , Linear Algebra , Khan Academy|2009-10-22T17:46:28Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|hZ827mfh1Jo
144|2|52|Preimage of a set , Matrix transformations , Linear Algebra , Khan Academy|2009-10-22T19:34:00Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|zVsGtU8lIWs
145|2|53|Preimage and kernel example , Matrix transformations , Linear Algebra , Khan Academy|2009-10-22T20:37:50Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|6yrPU8rYOhs
146|2|54|Sums and scalar multiples of linear transformations , Linear Algebra , Khan Academy|2009-10-23T16:36:17Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|wHuY97vss18
147|2|55|More on matrix addition and scalar multiplication , Linear Algebra , Khan Academy|2009-10-23T16:42:33Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|Z19-ObbmHJE
148|2|56|Linear transformation examples: Scaling and reflections , Linear Algebra , Khan Academy|2009-10-23T22:15:36Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|qkfODKmZ-x4
149|2|57|Linear transformation examples: Rotations in R2 , Linear Algebra , Khan Academy|2009-10-23T23:17:56Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|lPWfIq5DzqI
150|2|58|Rotation in R3 around the x-axis , Matrix transformations , Linear Algebra , Khan Academy|2009-10-26T05:13:34Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|gkyuLPzfDV0
151|2|59|Unit vectors , Matrix transformations , Linear Algebra , Khan Academy|2009-10-26T16:24:56Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|lQn7fksaDq0
152|2|60|Introduction to projections , Matrix transformations , Linear Algebra , Khan Academy|2009-10-26T17:02:40Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|27vT-NWuw0M
153|2|61|Expressing a projection on to a line as a matrix vector prod , Linear Algebra , Khan Academy|2009-10-26T17:40:23Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|JK-8XNIoAkI
154|2|62|Compositions of linear transformations 1 , Matrix transformations , Linear Algebra , Khan Academy|2009-10-27T18:14:20Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|f_DTiXZpb8M
155|2|63|Compositions of linear transformations 2 , Matrix transformations , Linear Algebra , Khan Academy|2009-10-27T18:32:50Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|BuqcKpe5ZQs
156|2|64|Matrix product examples , Matrix transformations , Linear Algebra , Khan Academy|2009-10-28T14:01:23Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|x1z0hOyjapU
157|2|65|Matrix product associativity , Matrix transformations , Linear Algebra , Khan Academy|2009-10-28T14:43:18Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|Hhc96U_HvQE
158|2|66|Distributive property of matrix products , Matrix transformations , Linear Algebra , Khan Academy|2009-10-28T15:28:38Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|oMWTMj78cwc
159|2|67|Introduction to the inverse of a function , Matrix transformations , Linear Algebra , Khan Academy|2009-10-28T19:30:27Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|-eAzhBZgq28
160|2|68|Proof: Invertibility implies a unique solution to f(x)=y , Linear Algebra , Khan Academy|2009-10-28T23:01:55Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|7GEUgRcnfVE
161|2|69|Surjective (onto) and injective (one-to-one) functions , Linear Algebra , Khan Academy|2009-10-29T17:48:36Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|xKNX8BUWR0g
162|2|70|Relating invertibility to being onto and one-to-one , Linear Algebra , Khan Academy|2009-10-29T18:15:03Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|QIU1daMN8fw
163|2|71|Determining whether a transformation is onto , Linear Algebra , Khan Academy|2009-10-29T22:59:24Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|eR8vEdJTvd0
164|2|72|Exploring the solution set of Ax = b , Matrix transformations , Linear Algebra , Khan Academy|2009-10-30T19:31:33Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|1PsNIzUJPkc
165|2|73|Matrix condition for one-to-one trans , Matrix transformations , Linear Algebra , Khan Academy|2009-10-30T20:24:45Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|M3FuL9qKTBs
166|2|74|Simplifying conditions for invertibility , Matrix transformations , Linear Algebra , Khan Academy|2009-10-30T21:25:26Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|Yz2OosyMTmY
167|2|75|Showing that inverses are linear , Matrix transformations , Linear Algebra , Khan Academy|2009-10-31T01:24:29Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|mr9Tow8hpCg
168|2|76|Deriving a method for determining inverses , Matrix transformations , Linear Algebra , Khan Academy|2009-10-31T20:04:35Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|6DpzCKJBsz0
169|2|77|Example of finding matrix inverse , Matrix transformations , Linear Algebra , Khan Academy|2009-10-31T20:07:44Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|r9aTLTN16V4
170|2|78|Formula for 2x2 inverse , Matrix transformations , Linear Algebra , Khan Academy|2009-11-02T19:00:42Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|eEUK_ThrHuQ
171|2|79|3 x 3 determinant , Matrix transformations , Linear Algebra , Khan Academy|2009-11-02T22:05:05Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|0c7dt2SQfLw
172|2|80|n x n determinant , Matrix transformations , Linear Algebra , Khan Academy|2009-11-02T23:05:18Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|H9BWRYJNIv4
173|2|81|Determinants along other rows/cols , Matrix transformations , Linear Algebra , Khan Academy|2009-11-02T23:26:43Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|nu87kfmwNfU
174|2|82|Rule of Sarrus of determinants , Matrix transformations , Linear Algebra , Khan Academy|2009-11-02T23:44:15Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|4xFIi0JF2AM
175|2|83|Determinant when row multiplied by scalar , Matrix transformations , Linear Algebra , Khan Academy|2009-11-03T18:54:58Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|32rdijPB-rA
176|2|84|(correction) scalar multiplication of row , Matrix transformations , Linear Algebra , Khan Academy|2009-11-03T19:30:12Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|WY6QG0mZ7uQ
177|2|85|Determinant when row is added , Matrix transformations , Linear Algebra , Khan Academy|2009-11-03T19:44:27Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|VrB3LaSD_uo
178|2|86|Duplicate row determinant , Matrix transformations , Linear Algebra , Khan Academy|2009-11-03T22:22:41Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|gYv8sttBIqs
179|2|87|Determinant after row operations , Matrix transformations , Linear Algebra , Khan Academy|2009-11-03T22:23:35Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|kpG7xySkivg
180|2|88|Upper triangular determinant , Matrix transformations , Linear Algebra , Khan Academy|2009-11-03T23:36:12Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|VX7K8iqoiRc
181|2|89|Simpler 4x4 determinant , Matrix transformations , Linear Algebra , Khan Academy|2009-11-04T00:24:59Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|QV0jsTiobU4
182|2|90|Determinant and area of a parallelogram , Matrix transformations , Linear Algebra , Khan Academy|2009-11-04T17:30:51Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|n-S63_goDFg
183|2|91|Determinant as scaling factor , Matrix transformations , Linear Algebra , Khan Academy|2009-11-04T19:22:50Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|g3MqSdO5Ubc
184|2|92|Transpose of a matrix , Matrix transformations , Linear Algebra , Khan Academy|2009-11-04T21:04:08Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|2t0003_sxtU
185|2|93|Determinant of transpose , Matrix transformations , Linear Algebra , Khan Academy|2009-11-05T15:20:15Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|x-GV2v0dRNE
186|2|94|Transpose of a matrix product , Matrix transformations , Linear Algebra , Khan Academy|2009-11-04T22:52:54Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|UdHgWK13x5I
187|2|95|Transposes of sums and inverses , Matrix transformations , Linear Algebra , Khan Academy|2009-11-05T15:28:58Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|Br_8t58mdeI
188|2|96|Transpose of a vector , Matrix transformations , Linear Algebra , Khan Academy|2009-11-05T17:38:19Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|lSoaMCNKfAg
189|2|97|Rowspace and left nullspace , Matrix transformations , Linear Algebra , Khan Academy|2009-11-06T01:33:19Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|qBfc57x_RSg
190|2|98|Visualizations of left nullspace and rowspace , Linear Algebra , Khan Academy|2009-11-06T17:30:48Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|GW8ZPjGlk24
191|2|99|Orthogonal complements , Alternate coordinate systems (bases) , Linear Algebra , Khan Academy|2009-11-06T18:19:25Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|QOTjdgmNqlg
192|2|100|rank(a) = rank(transpose of a) , Matrix transformations , Linear Algebra , Khan Academy|2009-11-07T00:12:41Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|tqqVOWm9YsU
193|2|101|dim(v) + dim(orthogonal complement of v) = n , Linear Algebra , Khan Academy|2009-11-07T00:33:59Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|pGhBfkBqok0
194|2|102|Representing vectors in rn using subspace members , Linear Algebra , Khan Academy|2009-11-08T21:53:15Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|M6lFqkqvUgo
195|2|103|Orthogonal complement of the orthogonal complement , Linear Algebra , Khan Academy|2009-11-09T16:35:25Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|zlI8mx8Hc8o
196|2|104|Orthogonal complement of the nullspace , Linear Algebra , Khan Academy|2009-11-09T16:32:26Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|LE_aQAur7nI
197|2|105|Unique rowspace solution to Ax = b , Linear Algebra , Khan Academy|2009-11-09T17:58:22Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|czIYvs9zj2g
198|2|106|Rowspace solution to Ax = b example , Linear Algebra , Khan Academy|2009-11-09T20:12:42Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|qdf2CuMGdKs
199|2|107|Rowspace solution to Ax = b example , Linear Algebra , Khan Academy|2009-11-09T20:12:42Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|qdf2CuMGdKs
200|2|108|Showing that A-transpose x A is invertible , Matrix transformations , Linear Algebra , Khan Academy|2009-11-09T23:38:53Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|ESSMQH6Y5OA
201|2|109|Projections onto subspaces , Linear Algebra , Khan Academy|2009-11-10T17:21:29Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|5B8XluiqdHM
202|2|110|Visualizing a projection onto a plane , Linear Algebra , Khan Academy|2009-11-10T17:29:06Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|uWbZlJURkfA
203|2|111|A projection onto a subspace is a linear transformation  , Linear Algebra , Khan Academy|2009-11-10T18:09:35Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|cTyNpXB92bQ
204|2|112|Subspace projection matrix example , Linear Algebra , Khan Academy|2009-11-10T18:35:13Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|QTcSBB3uVP0
205|2|113|Another example of a projection matrix , Linear Algebra , Khan Academy|2009-11-10T19:53:27Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|XhCSHu6dHb8
206|2|114|Projection is closest vector in subspace , Linear Algebra , Khan Academy|2009-11-10T20:12:34Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|b269qpILOpk
207|2|115|Least squares approximation , Linear Algebra , Khan Academy|2009-11-10T22:15:13Z|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.|MC7l96tW8V8
